animal_type,name,age,color,months_in_shelter,behavior,health,vaccinated,target_audience,row_num,description
cat,Oreo,13,white,20,"curious, energetic, alert",bad,True,elderly,235,"Oreo, a charming 13-year-old white feline, is a gentle soul with a playful spirit. While he may be a senior, he's still got plenty of energy and curiosity, making him a delightful companion. His playful nature is sure to bring a smile to your face. Though Oreo has been with us for a while, he's a sweet and loving cat who just needs a quiet home to call his own. With his vaccinations up-to-date, Oreo is ready for a new adventure with someone special.  While he does require some extra care due to his age, his warm personality and affectionate nature will make him the perfect companion for someone who can provide him with the love and comfort he deserves."
dog,Axel,11,black,42,"intelligent, curious",good,True,singles,236,"Looking for a loyal companion to share your life with? Meet Axel, an 11-year-old distinguished gentleman with a heart of gold.  This intelligent and curious black beauty has been patiently waiting for his forever home for over three years, and it's time he found the perfect single person to spoil him rotten.  Despite his age, Axel enjoys life to the fullest, boasting excellent health and all his vaccinations are up-to-date. He's not looking for wild adventures, just a cozy couch to snuggle on, someone to scratch behind his ears, and the quiet companionship of a loving human.  Could that be you?  Come meet Axel and discover the joy of a mature, loving dog who's ready for a peaceful, happy retirement."
dog,Molly,15,white,49,"good with other pets, energetic",good,False,couples,237,No description generated
dog,Pretzel,13,brown,19,"patient, good with other pets",good,True,families,238,"Meet Pretzel, a sweet and gentle 13-year-old brown dog who's looking for his forever home!  Despite his age, Pretzel is full of love and has the most patient personality, making him a perfect companion for families. He's been with us for 19 months, patiently waiting for his special someone.  He's incredibly well-behaved, gets along famously with other pets, and is up-to-date on all his vaccinations, ensuring a healthy and happy addition to your family.  Pretzel is ready to spend his golden years showered with love and cuddles – could that be with you?"
cat,Snowball,15,white,16,curious,bad,True,singles,239,"Snowball, a dignified gentleman of 15 years, is a sweet white cat with a curious heart. Though his age has brought him some health challenges, he’s a true cuddle bug who enjoys being petted and loves a warm lap. Snowball has been with us for over a year, patiently waiting for his forever home. While he may not be as spry as he once was, he still has plenty of love to give and would be the perfect companion for someone who can provide him with a quiet, loving home. Snowball is fully vaccinated and ready to bring a touch of gentle companionship to your life."
cat,Ziggy,1,gray,6,"cautious, alert, sociable",good,True,families,240,"Ziggy is a one-year-old, handsome gray tabby with a heart of gold. This gentle soul has been waiting patiently for his forever home for six months, and he's ready to shower his new family with love and purrs. While initially cautious, Ziggy warms up quickly and loves to be around people. He's an alert and sociable cat who enjoys a good head scratch and playful sessions with his favorite toys.  Ziggy is in excellent health, fully vaccinated, and ready to bring joy to your home.  If you're looking for a loving companion to join your family, come meet Ziggy – he's the purrfect addition!"
cat,Amber,15,white,57,"confident, trainable",good,True,families,241,"Amber is a stunning, snow-white beauty with a heart of gold.  At 15 years old, she's a seasoned pro at purring and napping, and she's ready for a loving family to share her golden years with.  Amber is confident and trainable, making her a delightful companion. She's in excellent health and up-to-date on all her vaccinations, ensuring she's ready for a lifetime of cuddles and playtime.  Despite her extended stay at the shelter, Amber's spirit remains bright, and she's eager to find her forever home.  If you're looking for a gentle, graceful companion with a touch of wisdom, Amber might just be the purrfect addition to your family."
cat,Mochi,3,white,5,good with kids,excellent,True,elderly,242,"Meet Mochi, a sweet and gentle 3-year-old white cat who is just waiting for a loving forever home. Mochi is a real sweetheart, with a calm and friendly personality that is perfect for a quiet household. He loves to be petted and will often curl up on your lap for a cuddle. Mochi is also great with children, making him a wonderful companion for families. He is in excellent health, up-to-date on all his vaccinations, and ready to bring joy to his new family. With his snowy white coat and gentle demeanor, Mochi is sure to melt your heart."
cat,Baron,7,black,48,alert,good,True,singles,243,"Baron, a handsome seven-year-old black cat, is a true gentleman looking for his forever home.  This sophisticated feline has spent a little too long in the shelter, but his alert demeanor and friendly nature haven't faded a bit. Baron is a healthy, vaccinated cat who is ready to curl up on your lap and purr the night away. As a single, you deserve a loyal companion, and Baron is the perfect choice for someone who appreciates quiet companionship and a touch of feline elegance."
cat,Kitty,9,white,14,"adventurous, independent, playful",good,True,active individuals,244,"Looking for a feline companion who's as adventurous as you are?  Meet Kitty, a spunky 9-year-old white cat with a playful spirit and a zest for life!  Despite having spent the last 14 months at the shelter, Kitty's independent nature and boundless energy haven't dimmed.  She's a healthy, vaccinated girl ready to explore the world – or at least your apartment – with her new best friend.  If you're an active individual seeking a fun, independent cat who's ready for some exciting adventures, Kitty is the purrfect match!"
dog,Archie,1,black,8,"outgoing, loyal",good,True,singles,245,No description generated
cat,Pepper,3,black,35,"trainable, talkative",excellent,True,couples,246,"Looking for a charming companion to complete your loving home?  Meet Pepper, a stunning 3-year-old black cat with a personality as captivating as his coat!  While Pepper's been patiently waiting for his forever home at the shelter for 35 months, his sweet and trainable nature shines through.  He's a wonderfully talkative cat, always ready for a conversation (or maybe a treat!), and his health is excellent, with all vaccinations up-to-date.  Pepper is a purrfect match for a couple looking to add a loyal and engaging friend to their lives – he promises endless cuddles and entertaining meows!  Could you be the perfect humans to finally give this handsome boy the loving home he deserves?"
cat,Auburn,14,white,21,active,bad,True,families,247,Description could not be generated.
cat,Simba,3,gray,36,active,good,True,active individuals,248,Description could not be generated.
dog,Zara,12,black,52,"devoted, dignified, good with other pets",excellent,True,couples,249,"Looking for a loyal companion to share your golden years with?  Meet Zara, a dignified and devoted 12-year-old black beauty who's been patiently waiting 52 months for her forever home.  With excellent health and all her vaccinations up-to-date, this sweet girl is ready to shower you with affection.  Zara is incredibly gentle and gets along famously with other pets, making her the perfect addition to a loving household.  She's a treasure waiting to be discovered, offering the quiet companionship and unwavering loyalty that only a mature dog can provide.  Could Zara be the perfect match for your loving couple?"
dog,Finn,12,gray,23,intelligent,excellent,True,active individuals,250,"Meet Finn, a distinguished 12-year-old gentleman with a heart of gold and a coat of handsome gray!  While his age might suggest a quieter life, Finn is surprisingly spry and intelligent, proving that age is just a number.  He's been patiently waiting for his forever home for 23 months, and we know the right active individual will be overjoyed to welcome him.  Finn is fully vaccinated and in excellent health, ready for leisurely walks, snuggles on the couch, and maybe even a game of fetch (if you're up for it!).  Don't let his mature years fool you; Finn is looking for a loving companion who appreciates a calm, loyal friend with a gentle spirit and a wealth of wisdom.  He's the perfect addition for someone seeking a rewarding companionship without the high-energy demands of a younger dog."
cat,Whiskers,9,brown,25,"good with other pets, focused, affectionate",excellent,True,families,251,"Meet Whiskers, a loving 9-year-old brown cat who's ready to purr his way into your hearts!  This gentle soul has been patiently waiting for his forever home at the shelter for 25 months, and we know he's the perfect addition to a family.  Whiskers is incredibly well-behaved, gets along famously with other pets, and boasts a wonderfully focused and affectionate personality.  He's in excellent health and is up-to-date on all his vaccinations.  If you're looking for a loyal companion who will shower you with cuddles and purrs, Whiskers is the cat for you!  Come meet this sweet, mature gentleman and experience the joy of a purrfectly loving family member."
dog,Storm,14,black,18,lap cat/dog,excellent,True,elderly,252,"Meet Storm, a distinguished gentleman of 14 years who's ready to trade his shelter stay for a cozy retirement home!  This sweet, all-black companion is as gentle as they come, preferring the quiet comfort of a lap to boisterous games.  Storm has spent 18 months with us, patiently awaiting his forever home, and his excellent health and up-to-date vaccinations prove he's ready for many more years of love.  If you're looking for a low-key, loving friend to share your golden years with, Storm is the perfect lap cat…err, *dog*! He's a quiet, affectionate soul who would thrive in a calm, loving environment.  Come meet this charming senior and discover the joys of a truly devoted companion."
cat,Coco,14,black,37,"playful, shy, curious",bad,True,couples,253,"Coco, our sweet 14-year-old black beauty, is searching for a loving forever home after an unusually long stay with us.  While her age means she requires a bit more TLC (she has some health concerns we're managing),  Coco's playful spirit and curious nature shine through.  Initially shy, she warms up quickly to gentle hands and will reward your patience with purrs and playful swats.  Coco is fully vaccinated and ready to share her twilight years with a special couple who can offer her the quiet comfort and dedicated care she deserves.  Could that be you?  Come meet this amazing senior kitty and discover the joy of a loving companion who's ready to give all her heart."
cat,Pickle,2,black,15,"curious, shy",excellent,True,active individuals,254,"Meet Pickle, a sleek, two-year-old black cat with a heart of gold waiting to discover the purrfect active home!  This curious and shy feline has spent 15 months with us, patiently waiting for his forever friend.  While he might be a bit reserved at first, Pickle's playful nature emerges once he feels comfortable, making him the ideal companion for someone who appreciates a little mystery and quiet companionship.  He's in excellent health, fully vaccinated, and ready to explore the world with an energetic human by his side.  If you're looking for a loyal, low-maintenance friend to share your adventures with, Pickle is your cat!"
dog,Charlie,10,brown,19,mellow,excellent,True,elderly,255,"Meet Charlie, a sweet and gentle 10-year-old brown companion looking for his forever home!  This mellow fellow has spent far too long at the shelter (19 months!), but his calm demeanor and excellent health make him the perfect addition to a quiet household.  Charlie is fully vaccinated and ready to enjoy his golden years with a loving owner.  He's the ideal companion for someone seeking a peaceful, affectionate friend who appreciates gentle walks and quiet companionship.  Could that be you?  Come meet Charlie today and let him steal your heart!"
dog,Lucy,3,gray,34,"people-oriented, mellow, trainable",excellent,True,couples,256,"Looking for a loving and loyal companion to complete your family? Look no further than Lucy! This sweet, three-year-old gray girl has been patiently waiting for her forever home for 34 months, and we know she won't disappoint.  Lucy is a mellow and people-oriented dog who adores human interaction, making her the perfect addition to a couple's life.  She's highly trainable, eager to please, and enjoys cuddling on the couch as much as she enjoys a lively game of fetch.  With excellent health and all her vaccinations up-to-date, Lucy is ready to embark on a new chapter filled with love and adventure.  Could that chapter be with you?"
dog,Oreo,14,black,57,loyal,bad,True,families,257,"Meet Oreo, a loyal and loving 14-year-old black dog who's been patiently waiting for his forever home at the shelter for 57 months.  While his senior years have brought some health challenges (we're happy to discuss his specific needs with you), Oreo's sweet and gentle nature shines through. He's fully vaccinated and ready to offer a family unconditional love and companionship.  Oreo may not have the boundless energy of a puppy, but he offers the quiet comfort and steadfast devotion only a senior dog can provide. If your family is looking for a loyal friend to cherish their remaining years, Oreo is the perfect match.  He's looking for a calm, loving environment where he can enjoy gentle walks, warm cuddles, and the peace of a loving home.  Come meet this special boy today!"
dog,Rex,5,brown,15,active,good,True,singles,258,"Rex is a five-year-old, energetic brown dog who's ready to become your new best friend!  This playful pup has boundless enthusiasm and is looking for an active single owner to share his adventures with.  While he's been patiently waiting at the shelter for 15 months, his sweet disposition and good health (he's fully vaccinated!) remain undeterred.  Rex is ready to ditch the kennel and embark on a new chapter filled with walks, games, and lots of love.  If you're a single person seeking a loyal and spirited companion, Rex is the perfect match – apply to meet him today!"
cat,Chester,14,gray,49,"loving, confident",excellent,True,families,259,"Meet Chester, a distinguished gentleman of 14 years who's ready to purr his way into your hearts! This sweet, gray cat has spent far too long at the shelter (49 months!), but his loving and confident personality remains undimmed.  Chester is a picture of feline health, with all his vaccinations up-to-date, proving he's ready for a comfortable retirement filled with cuddles and chin scratches. He's looking for a family who appreciates a calm and affectionate companion, someone who will cherish his gentle nature and appreciate the wisdom that comes with age.  Could that family be yours?  Chester promises years of purrfect companionship!"
dog,Charlie,8,black,28,"cuddly, relaxed, focused",bad,True,couples,260,"Meet Charlie, a sweet and gentle 8-year-old black dog who's looking for his forever home!  While Charlie has been patiently waiting at the shelter for 28 months, his calm and cuddly demeanor makes him the perfect companion for a loving couple.  He's a focused and relaxed boy who enjoys quiet moments of affection.  While Charlie does have some age-related health concerns that we're carefully managing, his vaccinations are up-to-date, and with the right care, this loving senior will reward you with years of companionship and unwavering loyalty. Could you be the couple to finally give Charlie the loving home he deserves?"
cat,Cloud,10,brown,19,"intelligent, good with kids",excellent,True,active individuals,261,"Meet Cloud, a sophisticated 10-year-old brown cat with a heart of gold and a mind of his own!  This intelligent fellow has been patiently waiting for his forever home for 19 months, and we think an active individual would be the perfect match for his calm, yet engaging personality.  Cloud is incredibly gentle and loves kids, making him a purrfect addition to a busy household.  He's in excellent health, is fully vaccinated, and ready to share his wisdom and cuddles with an energetic owner who appreciates a laid-back, loyal companion.  Don't let Cloud's age fool you – he's full of life and ready for new adventures!"
cat,Scout,11,black,49,"cautious, energetic, mellow",excellent,True,elderly,262,"Meet Scout, a distinguished gentleman of 11 years who's looking for a peaceful retirement home!  This sleek, black cat has a wonderfully mellow personality, perfect for quiet companionship.  While initially cautious, Scout's playful energy emerges once he feels comfortable, making for delightful, low-key interaction.  He's in excellent health, fully vaccinated, and ready to purr his way into your heart. After a long stay of 49 months at the shelter, this sweet soul deserves a cozy lap and a loving home for his golden years.  If you're seeking a refined feline friend who appreciates gentle affection, look no further than Scout."
dog,Zeus,1,black,5,"confident, outgoing",excellent,True,singles,263,"Ready to have your heart stolen by a king? Meet Zeus, a stunning one-year-old black dog with a personality to match his regal name!  This confident and outgoing fella has spent the last five months patiently waiting for his forever home, and we know he's got the perfect single person waiting to spoil him.  Zeus is brimming with energy and affection, ready for adventures big and small, from long walks in the park to cozy nights in. With excellent health and all his vaccinations up-to-date, this handsome boy is looking for a loving companion who's ready to share their life with a truly amazing dog.  Could that be you?"
cat,Pepper,15,white,42,"gentle, lap cat/dog, confident",good,False,singles,264,"Meet Pepper, a distinguished gentleman of 15 years who's ready to add a touch of refined elegance to your single life.  This sweet, snow-white cat is as gentle as they come, a true lap cat who'll happily curl up beside you on the couch or even follow you around like a devoted canine companion. Despite his age, Pepper is remarkably confident and healthy (though his vaccinations are unfortunately overdue, something we'll happily assist you with).  He's been patiently waiting 42 months for his forever home, hoping to find a loving single person who can appreciate his calm demeanor and offer him a quiet place to enjoy his golden years.  Could that be you?"
cat,Loki,3,gray,36,"good with other pets, alert, talkative",good,True,couples,265,"Looking for a charming and sophisticated companion to complete your loving home?  Meet Loki, a handsome 3-year-old gray cat with a personality as captivating as his sleek coat.  This alert and talkative fellow has been patiently waiting for his forever home for 36 months, and we know he's got the purrfect love to give! Loki is a genuinely sweet cat with excellent manners – he gets along famously with other pets, ensuring a harmonious household for you and your furry friends.  He's in excellent health, up-to-date on all his vaccinations, and ready to shower you with affection.  Could Loki be the purrfect addition to your loving couple's life?"
